Identity,near_dist_m.1,near_dist_m.2,near_dist_m.3
1,0.03,0.97,0.19
2,0.01,0.14,0.16
3,0,0.04,0.59
4,0.01,0.01,0.1
5,0.01,0.28,0.08
6,0.01,0.37,1.77
7,0,0.07,0.36
8,0.02,0.1,0.06
9,0.02,1,2.34
10,0.02,0.76,0.05
11,0,0.04,0.05
12,0,0.04,0.06
13,0.03,0.3,0.66
14,0,0.14,0.13
15,0.01,0.71,0.21
16,0.01,0.39,4.16
17,0.03,1.15,0.17
18,0.01,0.09,2.73
19,0,0.71,0.06
20,0.01,0.08,0.21
21,0.02,0.07,1.15
22,0,0.08,0.07
23,0.03,0.77,0.27
24,0.01,1.49,1.26
25,0.01,0.37,0.88
26,0,0.03,0.34
27,0,0.12,1.11
28,0.01,0.16,0.05
29,0.03,0.29,0.23
30,0.02,0.01,0.09
31,0.01,0.5,0.11
32,0.02,1,0.04
33,0.01,0.67,0.06
34,0,0.88,0.06
35,0.01,1.55,0.77
36,0.01,0.5,0.02
37,0.02,2.8,0.49
38,0.03,0.78,0.71
39,0,0.61,0.04
40,0.01,0.04,0.01
41,0.01,0.22,2.12
42,0.03,0.11,0.44
43,0.02,0.02,0.03
44,0.02,0.17,0.84
45,0.01,0.57,0.14
46,0.01,0.59,0.88
47,0.03,0.12,0.08
48,0,0.03,0.2
49,0.01,1.51,0.15
50,0.01,0.55,0.19
51,0.02,1.33,1.26
52,0.01,1.64,0.16
53,0.03,0.09,0.45
54,0.01,1.62,0.97
55,0.04,0.24,3.93
56,0.02,0.04,0.08
57,0,0.12,0.11
58,0.02,1.98,0.5
59,0.01,1.19,0.15
60,0,0.15,0.36
61,0,0.11,0.57
62,0.02,0.12,0.07
63,0,0.03,0.34
64,0,0.09,0.64
65,0,0.17,1.1
66,0,0.95,0.14
67,0.03,0.11,0.05
68,0.03,1.45,0.34
69,0,0.2,0.45
70,0.01,0.67,0.09
71,0,0.16,0.34
72,0.02,0.07,0.06
73,0.01,1.28,0.62
74,0.01,1.39,0.05
75,0,0.12,0.11
76,0.01,0.5,0.33
77,0.01,0.48,0.66
78,0.01,0.03,0.07
79,0.02,0.46,0.23
80,0.02,0.27,0.15
81,0.01,0.37,0.06
82,0.01,2.15,0.64
83,0.01,1.45,0.2
84,0.01,0.04,0.06
85,0,0.12,0.81
86,0,0.43,0.13
87,0.01,0.05,0.42
88,0.03,0.19,0.1
89,0.01,0.48,0.31
90,0,2.09,0.13
91,0.01,1.28,0.6
92,0.01,0.12,0.31
93,0.01,1.13,0.24
94,0,0.61,0.64
95,0.01,0.05,0.63
96,0.03,0.31,0.07
97,0.01,0.3,0.59
98,0,0.25,0.85
99,0.02,0.5,0.12
100,0.02,0.07,0.48
101,0,0.55,0.73
102,0,0.06,0.04
103,0.03,1.73,0.61
104,0,0.15,0.04
105,0.02,0.25,0.35
106,0,0.95,1.31
107,0,0.08,0.1
108,0.01,0.1,0.23
109,0.01,0.37,0.28
110,0.01,0.05,0.42
111,0,0.77,0.79
112,0.01,0.84,0.12
113,0.02,0.18,0.5
114,0.03,0.78,3.85
115,0.01,0.45,0.22
116,0.02,1.29,0.44
117,0.01,0.31,0.77
118,0.04,0.27,2.94
119,0.02,0.16,0.98
120,0.02,0.25,1.08
121,0.01,0.11,0.04
122,0.02,0.15,1.36
123,0.01,0.1,0.3
124,0,0.05,0.13
125,0,0.07,0.5
126,0.01,6.34,0.35
127,0.01,0.01,0.21
128,0,2.23,0.41
129,0,0.01,0.91
130,0.01,0.94,0.52
131,0.01,0.54,0.28
132,0,0.05,0.18
133,0.01,3.04,0.24
134,0,1.57,0.13
135,0.01,0.35,0.06
136,0,0.1,0.41
137,0.03,0.05,0.56
138,0,0.04,0.18
139,0,0.08,0.38
140,0,0.07,0.12
141,0.01,0.14,0.05
142,0,0.09,0.02
143,0,0.14,0.71
144,0.02,0.02,0.3
145,0.01,1.28,0.54
146,0,0.79,0.03
147,0.01,1.14,0.17
148,0,1.5,1.79
149,0.02,0.17,0.12
150,0,1.43,0.08
151,0,0.55,0.12
152,0.02,0.07,0.14
153,0,0.65,0.03
154,0,0.4,0.19
155,0,0.45,0.6
156,0.02,1.55,0.12
157,0.01,0.67,0.49
158,0.01,3.48,0.14
159,0.01,1.08,0.06
160,0.02,0.06,0.06
161,0.01,2.37,0.09
162,0.02,0.05,0.16
163,0.01,0.09,1.69
164,0.01,0.07,1.44
165,0.01,1.62,0.21
166,0.01,0.97,1.07
167,0.01,0.16,0.05
168,0.01,0.14,0.24
169,0.01,0.5,1.42
170,0,0.04,0.09
171,0.01,0.61,0.09
172,0.03,0.02,1.24
173,0,0.47,1.07
174,0.01,0.04,0.59
175,0.03,0.4,1.09
176,0.02,0.05,0.09
177,0.08,0.04,0.05
178,0,0.09,0.75
179,0.02,1.36,0.04
180,0,0.05,1.97
181,0.02,0.04,0.22
182,0.02,0.59,1.3
183,0.03,0.18,0.03
184,0,0.89,0.47
185,0.02,0.08,0.98
186,0.01,0.2,0.26
187,0,1.02,0.19
188,0.01,0.16,0.02
189,0.01,0.58,0.76
190,0.01,1.72,0.89
191,0,0.71,0.07
192,0.02,0.1,1.63
193,0.02,0.04,0.79
194,0.01,0.33,0.83
195,0,0.18,0.2
196,0.02,0.05,2.09
197,0.03,0.24,0.59
198,0.01,0.03,0.79
199,0,0.49,0.11
200,0.02,0.11,0.26
201,0.02,0.6,0.06
202,0.03,0.81,0.02
203,0.03,0.1,0.15
204,0.01,0.29,0.12
205,0.01,0.6,1.51
206,0.02,0.93,0.12
207,0.02,1.02,0.07
208,0.01,0.7,0.09
209,0,0.01,0.83
210,0.02,0.4,1.55
211,0,0.11,0.02
212,0.04,0.35,1.45
213,0.02,0.01,0.2
214,0,0.03,0.02
215,0,0.07,0.08
216,0.01,0.36,0.11
217,0,0.08,0.72
218,0.01,0.6,1.57
219,0.01,0.26,0.16
220,0,0.27,0.28
221,0.02,0.06,1.43
222,0.01,0.15,3.91
223,0,0.18,0.94
224,0,0.05,0.06
225,0.01,0.82,0.2
226,0.01,1.21,0.05
227,0.02,0.04,0.11
228,0.02,0.55,0.96
229,0.01,0.1,0.34
230,0,0.74,0.97
231,0,0.29,0.46
232,0,0.39,0.23
233,0.03,0.15,0.16
234,0.02,0.19,0.22
235,0.02,0.07,0.08
236,0.04,0.17,0.03
237,0.02,1.77,0.22
238,0.02,0.02,0.54
239,0,0.05,0.02
240,0.01,0.11,0.05
241,0,0.44,0.61
242,0.02,0.15,1.2
243,0.01,0.77,0.35
244,0.02,0.1,0.48
245,0,0.38,0.06
246,0.01,0.39,0.07
247,0.01,0.5,0.79
248,0.01,0.1,0.63
249,0,1.49,1.01
250,0,0.17,0.82
251,0.01,0.21,0.11
252,0.02,0.91,0.39
253,0,1.1,0.06
254,0,0.13,0.1
255,0,0.99,0.36
256,0.01,0.57,0.21
257,0,0.46,0.09
258,0,0.07,0.04
259,0.01,0.07,0.98
260,0.01,0.04,0.32
261,0,0.01,0.16
262,0,1.67,0.09
263,0.02,0.05,0.04
264,0.02,0.33,1.33
265,0.01,0.06,0.05
266,0.01,0.09,1.57
267,0,0.35,0.13
268,0,0.1,0.02
269,0.01,0.11,0.16
270,0.01,0.18,0.27
271,0,0.07,1.86
272,0,1.73,0.21
273,0.02,2.78,0.07
274,0,0.05,0.11
275,0,0.06,0.1
276,0,0.32,0.09
277,0.01,0.02,0.4
278,0.02,0.31,1.91
279,0.01,0.43,3.27
280,0,0.36,0.11
281,0,0.94,0.44
282,0.02,0.53,0.04
283,0,0.11,1.69
284,0,0.45,0.87
285,0,0.15,0.3
286,0.01,0.53,0.12
287,0,1.04,0.03
288,0.02,1.4,0.19
289,0.01,0.05,0.04
290,0.01,0.61,0.53
291,0.04,0.17,0.03
292,0.03,0.39,1.84
293,0.01,0.22,0.01
294,0.04,2.3,1.37
295,0.02,1.19,0.47
296,0.01,0.17,0.18
297,0,0.06,0.26
298,0.01,0.1,2.19
299,0,0.03,0.74
300,0.01,0.02,1.46
301,0,0.79,0.72
302,0.04,0.18,1.11
303,0.01,0.58,1.28
304,0.01,0.07,3.59
305,0.01,0.1,1.13
306,0,0.12,1.65
307,0.01,0.42,0.01
308,0.01,0.14,0.3
309,0.01,0.04,1.18
310,0,0.18,0.03
311,0.01,0.03,0.07
312,0.04,1.7,0.28
313,0.01,1.32,0.1
314,0,0.06,0.5
315,0.01,0.04,1.67
316,0.02,0.07,0.05
317,0.02,0.13,0.8
318,0,0.12,0.34
319,0,0.23,0.58
320,0,1.06,0.12
321,0,0.05,0.31
322,0.01,0.57,0.98
323,0.01,0.09,4.13
324,0.01,0.16,0.1
325,0.03,0.28,0.42
326,0.01,0.08,0.29
327,0,0.34,0.1
328,0.01,1.82,0.15
329,0.01,0.23,0.58
330,0,0.46,0.18
331,0.01,0.07,0.09
332,0.03,0.02,0.36
333,0,0.31,1.14
334,0,0.07,0.1
335,0.02,0.06,0.29
336,0.03,0.07,0.07
337,0.02,0.21,0.18
338,0.01,1.4,0.11
339,0,0.03,0.29
340,0.01,0.17,0.02
341,0.01,0.04,2.06
342,0.02,0.33,0.2
343,0.02,0.17,0.07
344,0.01,0.13,0.62
345,0.01,0.49,2.26
346,0.02,1.72,0.04
347,0.01,1.73,0.06
348,0.01,0.02,0.04
349,0,0.06,0.13
350,0,0.01,0.18
351,0,3.05,0.05
352,0,0.09,0.28
353,0.01,0.13,0.63
354,0.03,0.87,1.35
355,0.01,0.11,0.09
356,0.03,0.95,1.12
357,0.01,0.45,0.96
358,0.02,1.81,2.5
359,0.02,0.04,1.43
360,0,2.29,1.31
361,0,0.06,1.38
362,0,0.13,0.09
363,0,0.11,0.11
364,0.01,0.06,0.02
365,0.01,0.21,0.17
366,0,0.15,0.85
367,0,1.05,0.16
368,0.02,0.4,0.21
369,0.01,0.04,0.07
370,0.02,0.53,0.24
371,0.01,1.33,0.48
372,0.02,0.79,0.27
373,0.03,0.78,0.79
374,0,0.06,0.03
375,0,0.45,0.13
376,0.01,0.02,0.27
377,0.01,0.04,0.44
378,0,0.44,0.63
379,0.01,0.06,0.09
380,0.01,0.68,3.04